policy_number;spcode;prod_code;init_pol;commencement_year;ifrs17_group;age_at_entry;gender;mm_age_at_entry;mm_gender;sum_assured;annual_premium;premium_status;waiting_period;duration_if_m;sa_escalation;prem_escalation;prem_freq;temp_pw_ind;temp_pw_mth_exit;distribution;tax_class;education;plan;continuity_or_premium_waiver_option;prem_waiver_ind;comm_type;cashback_ind;repatriation;tombstone;cow_benefit;educator_option;paidup_option;paidup_ind;member_type;term;food;cashback_option;Weighting
10083;1;FUN_01;1;0;NULL;61;F;61;F;10000;1140;0;6;0;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;59;0;0;0.01
10089;1;FUN_01;1;0;NULL;49;M;49;M;15000;2280;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;MM;71;0;0;0.01
10089;1;FUN_01;1;0;NULL;54;M;49;M;15000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;SP;66;0;0;0.01
10089;1;FUN_01;1;0;NULL;18;M;49;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;102;0;0;0.01
10089;1;FUN_01;1;0;NULL;1;M;49;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;PAR;119;0;0;0.01
10090;1;FUN_01;1;0;NULL;54;M;54;M;15000;2280;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;MM;66;0;0;0.01
10090;1;FUN_01;1;0;NULL;49;M;54;M;15000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;SP;71;0;0;0.01
10090;1;FUN_01;1;0;NULL;18;M;54;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;102;0;0;0.01
10090;1;FUN_01;1;0;NULL;1;M;54;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;PAR;119;0;0;0.01
10093;1;FUN_01;1;0;NULL;28;M;28;M;10000;1140;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;92;0;0;0.01
10098;1;FUN_01;1;0;NULL;45;M;45;M;10000;1140;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;75;0;0;0.01
10098;1;FUN_01;1;0;NULL;57;M;45;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;63;0;0;0.01
10100;1;FUN_01;1;0;NULL;29;M;29;M;10000;1140;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;91;0;0;0.01
10100;1;FUN_01;1;0;NULL;24;M;29;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;96;0;0;0.01
10100;1;FUN_01;1;0;NULL;1;M;29;M;2500;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;119;0;0;0.01
10101;1;FUN_01;1;0;NULL;36;M;36;M;20000;1980;0;6;80;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;MM;84;0;0;0.01
10101;1;FUN_01;1;0;NULL;52;M;36;M;20000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;SP;68;0;0;0.01
