"year";"product_code";"yield_curve_code";"calculated_term";"initial_commission_percentage1";"initial_commission_percentage2";"initial_commission_rand";"clawback_period";"renewal_commission_percentage";"renewal_commission_rand";"initial_expense_percentage";"initial_expense_rand";"renewal_expense_percentage";"renewal_expense_rand";"initial_attributable_expense_proportion";"renewal_attributable_expense_proportion";"claims_attributable_expense_proportion";"premium_waiver_benefit_payout_adjusted";"premium_waiver_waiting_period";"paid_up_on_death_waiting_period";"paid_up_waiting_period";"paid_up_sum_assured_adjustment";"child_exit_age";"timing";"premium_waiver_sum_adjusted_term";"cashback_on_survival_period";"cashback_on_survival_term";"cashback_on_death_term";"paidup_effective_age";"paidup_effective_duration";"cashback_on_survival_ratio";"cashback_on_death_ratio";"claims_expense_percentage";"claims_expense_rand";"standard_additional_sum_assured";"retrenchment_qualification_factor";"main_member_indicator";"other_lives_indicator";"number_retrenchment_instalments";"funeral_sa_proportion";"funeral_minimum_benefit";"funeral_maximum_benefit";"premium_holiday_waiting_period";"maximum_premium_holidays";"premium_holiday_cycle";"ibnr_proportion";"loss_ratio";"accidental_benefit_multiplier";"flat_annual_reins_prem_rate";"level1_ceded_prop";"level1_lowerbound";"level1_upperbound";"level2_ceded_prop";"level2_lowerbound";"level2_upperbound";"level3_ceded_prop";"level3_lowerbound";"level3_upperbound";"ceding_commission";"rider_sum_assured";"benefit_multiplier";"phi_notified_claim_multiplier";"phi_pending_claim_multiplier";"basis"
1999;"PHI_01";"YCIFRS202112";0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;5201.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"IFRS"
2000;"PHI_01";"YCSAM202112";0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;5201.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"SAM"
2019;"PHI_01";"YCIFRS202209";0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;4889.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"IFRS"
2020;"FE_001";"YC202112";0;0.3;0.15;0.0;24;0.0;0.0;0.0;0.0;0.0;171.0;0.9;0.9;0.9;0.5;60;0;0;0.0;21;0.5;120.0;60.0;120.0;0.0;65;120.0;0.833333333;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"IFRS"
2020;"PHI_01";"YCSAMSPOT202209";0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;4889.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"SAM"
2021;"PHI_01";"YC202212";0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;4765.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"IFRS"
2022;"FE_001";"YC202112";0;0.3;0.15;0.0;24;0.0;0.0;0.0;0.0;0.0;171.0;0.9;0.9;0.9;0.5;60;0;0;0.0;21;0.5;120.0;60.0;120.0;0.0;65;120.0;0.833333333;0.0;0.0;0.0;1100.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"IFRS"
2022;"PHI_01";"YCSAM202212";0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;4765.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"SAM"
