"yield_curve_code";"proj_time";"month";"nominal_rate";"inflation";"basis"
"YC202112";110;12;0.08618471;0.07543041;"IFRS"
"YC202112";111;12;0.08618471;0.07543041;"IFRS"
"YC202112";112;12;0.08663529;0.07587653;"IFRS"
"YC202112";113;12;0.08663529;0.07587653;"IFRS"
"YC202112";114;12;0.08663529;0.07587653;"IFRS"
"YC202112";115;12;0.08716665;0.07640262;"IFRS"
"YC202112";116;12;0.08716665;0.07640262;"IFRS"
"YC202112";117;12;0.08716665;0.07640262;"IFRS"
"YC202112";118;12;0.08767532;0.07690625;"IFRS"
"YC202112";119;12;0.08767532;0.07690625;"IFRS"
"YC202112";120;12;0.08767532;0.07690625;"IFRS"
"YC202112";121;12;0.08822738;0.07745285;"IFRS"
"YC202112";122;12;0.08822738;0.07745285;"IFRS"
"YC202112";123;12;0.08822738;0.07745285;"IFRS"
"YC202112";124;12;0.08872656;0.07794709;"IFRS"
"YC202112";125;12;0.08872656;0.07794709;"IFRS"
"YC202112";126;12;0.08872656;0.07794709;"IFRS"
"YC202112";127;12;0.08923999;0.07845543;"IFRS"
"YC202112";128;12;0.08923999;0.07845543;"IFRS"
"YC202112";129;12;0.08923999;0.07845543;"IFRS"
"YC202112";130;12;0.08968037;0.07889145;"IFRS"
"YC202112";131;12;0.08968037;0.07889145;"IFRS"
"YC202112";132;12;0.08968037;0.07889145;"IFRS"
"YC202112";133;12;0.09011233;0.07931914;"IFRS"
"YC202112";134;12;0.09011233;0.07931914;"IFRS"
"YC202112";135;12;0.09011233;0.07931914;"IFRS"
"YC202112";136;12;0.09045837;0.07966175;"IFRS"
"YC202112";137;12;0.09045837;0.07966175;"IFRS"
"YC202112";138;12;0.09045837;0.07966175;"IFRS"
"YC202112";139;12;0.0907779;0.07997812;"IFRS"
"YC202112";140;12;0.0907779;0.07997812;"IFRS"
"YC202112";141;12;0.0907779;0.07997812;"IFRS"
"YC202112";142;12;0.09100417;0.08020215;"IFRS"
"YC202112";143;12;0.09100417;0.08020215;"IFRS"
"YC202112";144;12;0.09100417;0.08020215;"IFRS"
"YC202112";145;12;0.0911902;0.08038633;"IFRS"
"YC202112";146;12;0.0911902;0.08038633;"IFRS"
"YC202112";147;12;0.0911902;0.08038633;"IFRS"
"YC202112";148;12;0.09127929;0.08047454;"IFRS"
"YC202112";149;12;0.09127929;0.08047454;"IFRS"
"YC202112";150;12;0.09127929;0.08047454;"IFRS"
"YC202112";151;12;0.09133818;0.08053285;"IFRS"
"YC202112";152;12;0.09133818;0.08053285;"IFRS"
"YC202112";153;12;0.09133818;0.08053285;"IFRS"
"YC202112";154;12;0.09135363;0.08054815;"IFRS"
"YC202112";155;12;0.09135363;0.08054815;"IFRS"
"YC202112";156;12;0.09135363;0.08054815;"IFRS"
"YC202112";157;12;0.09139584;0.08058994;"IFRS"
"YC202112";158;12;0.09139584;0.08058994;"IFRS"
"YC202112";159;12;0.09139584;0.08058994;"IFRS"
"YC202112";160;12;0.09144109;0.08063475;"IFRS"
"YC202112";161;12;0.09144109;0.08063475;"IFRS"
"YC202112";162;12;0.09144109;0.08063475;"IFRS"
"YC202112";163;12;0.09145186;0.0806454;"IFRS"
"YC202112";164;12;0.09145186;0.0806454;"IFRS"
"YC202112";165;12;0.09145186;0.0806454;"IFRS"
"YC202112";166;12;0.09138143;0.08057567;"IFRS"
"YC202112";167;12;0.09138143;0.08057567;"IFRS"
"YC202112";168;12;0.09138143;0.08057567;"IFRS"
"YC202112";169;12;0.09128064;0.08047589;"IFRS"
"YC202112";170;12;0.09128064;0.08047589;"IFRS"
"YC202112";171;12;0.09128064;0.08047589;"IFRS"
"YC202112";172;12;0.0911353;0.08033198;"IFRS"
"YC202112";173;12;0.0911353;0.08033198;"IFRS"
"YC202112";174;12;0.0911353;0.08033198;"IFRS"
"YC202112";175;12;0.09098784;0.08018598;"IFRS"
"YC202112";176;12;0.09098784;0.08018598;"IFRS"
"YC202112";177;12;0.09098784;0.08018598;"IFRS"
"YC202112";178;12;0.09082531;0.08002506;"IFRS"
"YC202112";179;12;0.09082531;0.08002506;"IFRS"
"YC202112";180;12;0.09082531;0.08002506;"IFRS"
"YC202112";181;12;0.09068537;0.0798865;"IFRS"
"YC202112";182;12;0.09068537;0.0798865;"IFRS"
"YC202112";183;12;0.09068537;0.0798865;"IFRS"
"YC202112";184;12;0.0905546;0.07975703;"IFRS"
"YC202112";185;12;0.0905546;0.07975703;"IFRS"
"YC202112";186;12;0.0905546;0.07975703;"IFRS"
"YC202112";187;12;0.09046825;0.07967153;"IFRS"
