ANB;Gender;SEC;OCC_CLASS;Incidence Rate
79;F;1;1;0.03077477
80;F;1;1;0.03351814
81;F;1;1;0.0362615
82;F;1;1;0.04019564
83;F;1;1;0.04412977
84;F;1;1;0.04806391
85;F;1;1;0.05199804
86;F;1;1;0.05593218
87;F;1;1;0.06016396
88;F;1;1;0.06471593
89;F;1;1;0.06961229
90;F;1;1;0.0748791
91;F;1;1;0.0805444
92;F;1;1;0.08663834
93;F;1;1;0.09319333
94;F;1;1;0.10024427
95;F;1;1;0.10782868
96;F;1;1;0.11598692
97;F;1;1;0.12476241
98;F;1;1;0.13420185
99;F;1;1;0.14435546
100;F;1;1;0.15527729
101;F;1;1;0.16702546
102;F;1;1;0.17966249
103;F;1;1;0.19325563
104;F;1;1;0.20787721
105;F;1;1;0.22360505
106;F;1;1;0.22360505
107;F;1;1;0.225
108;F;1;1;0.225
109;F;1;1;0.225
110;F;1;1;0.225
111;F;1;1;0.225
112;F;1;1;0.225
113;F;1;1;0.225
114;F;1;1;0.225
115;F;1;1;0.225
116;F;1;1;0.225
117;F;1;1;0.225
118;F;1;1;0.225
119;F;1;1;0.225
120;F;1;1;0.28125
